Station,territory
IT_SACO_AC,IT
IT_CSUD,IT
LU,LU
IT_SUD,IT
MT,MT
IT_CNOR,IT
IT_SICI,IT
IT_CALA,IT
LT,LT
CY,CY
HR,HR
LV,LV
HU,HU
TR,TR
FI,FI
IT,IT
DK_2,DK
PT,PT
XK,XK
NO_5,NO
RO,RO
IT_SARD,IT
BG,BG
SE_1,SE
NO_2,NO
IT_SACO_DC,IT
DK_CA,DK
DK,DK
DK_1,DK
IT_NORD,IT
NO_4,NO
RS,RS
AM,AM
NO_1,NO
ES,ES
GE,GE
MK,MK
BA,BA
PL,PL
RU_KGD,RU
SE_4,SE
NO_3,NO
SE_2,SE
UA_IPS,UA
UA_DOBTPP,UA
AT,AT
MD,MD
AL,AL
UA_BEI,UA
SK,SK
DE_50HZ,DE
SE_3,SE
EE,EE
UA,UA
GR,GR
AZ,AZ
IE,IE
DE_TENNET,DE
GB_NIR,UK
GB_ELECLINK,UK
BE,BE
BY,BY
GB_IFA,UK
ME,ME
GB_IFA2,UK
SI,SI
IE_SEM,IE
CZ,CZ
FR,FR
NL,NL
RU,RU
NO,NO
GB,UK
UK,UK
SE,SE
CH,CH
DE_TRANSNET,DE
DE,DE
DE_LU,LU
DE_AMPRION,DE
